named_reaction,n_molecules,n_class_a_subgroups,largest_class_a,mean_class_a,cell,arm,slice
Urea formation (isocyanate + amine),1,1,1,1.0,scent_seh_seed43_m10,hub_batching,full
Amide coupling,8,8,1,1.0,scent_seh_seed43_m10,best_candidate,at100rxn
Suzuki coupling,5,5,1,1.0,scent_seh_seed43_m10,best_candidate,at100rxn
N-alkylation (azole N-H + alkyl halide),3,3,1,1.0,scent_seh_seed43_m10,best_candidate,at100rxn
Direct acid -> amine (reductive),3,2,2,1.5,scent_seh_seed43_m10,best_candidate,at100rxn
Buchwald-Hartwig amination,3,3,1,1.0,scent_seh_seed43_m10,best_candidate,at100rxn
Reductive amination (aldehyde),3,3,1,1.0,scent_seh_seed43_m10,best_candidate,at100rxn
Triazole formation (alkyne + alkyl halide),1,1,1,1.0,scent_seh_seed43_m10,best_candidate,at100rxn
SNAr (halo-heteroarene + amine),1,1,1,1.0,scent_seh_seed43_m10,best_candidate,at100rxn
Suzuki coupling,73,66,2,1.11,scent_seh_seed43_m10,best_candidate,full
Amide coupling,62,53,5,1.17,scent_seh_seed43_m10,best_candidate,full
Direct acid -> amine (reductive),38,36,2,1.06,scent_seh_seed43_m10,best_candidate,full
N-alkylation (azole N-H + alkyl halide),32,32,1,1.0,scent_seh_seed43_m10,best_candidate,full
Tetrazole formation (nitrile + alkyl halide),21,21,1,1.0,scent_seh_seed43_m10,best_candidate,full
Reductive amination (aldehyde),15,14,2,1.07,scent_seh_seed43_m10,best_candidate,full
Buchwald-Hartwig amination,13,12,2,1.08,scent_seh_seed43_m10,best_candidate,full
Williamson ether synthesis,11,11,1,1.0,scent_seh_seed43_m10,best_candidate,full
SNAr (halo-heteroarene + amine),8,7,2,1.14,scent_seh_seed43_m10,best_candidate,full
Triazole formation (alkyne + alkyl halide),7,7,1,1.0,scent_seh_seed43_m10,best_candidate,full
Urea formation (amine + amine),6,6,1,1.0,scent_seh_seed43_m10,best_candidate,full
Benzoxazole formation,4,4,1,1.0,scent_seh_seed43_m10,best_candidate,full
Suzuki coupling (pinacol boronate),4,4,1,1.0,scent_seh_seed43_m10,best_candidate,full
Benzimidazole formation,3,3,1,1.0,scent_seh_seed43_m10,best_candidate,full
Reductive amination (ketone),2,2,1,1.0,scent_seh_seed43_m10,best_candidate,full
Urea formation (isocyanate + amine),1,1,1,1.0,scent_seh_seed43_m10,best_candidate,full
Amide coupling,28,1,28,28.0,scent_seh_seed43_m10,hub_batching_modes10_reward,at100rxn
Buchwald-Hartwig amination,27,1,27,27.0,scent_seh_seed43_m10,hub_batching_modes10_reward,at100rxn
Direct acid -> amine (reductive),19,1,19,19.0,scent_seh_seed43_m10,hub_batching_modes10_reward,at100rxn
Urea formation (amine + amine),5,1,5,5.0,scent_seh_seed43_m10,hub_batching_modes10_reward,at100rxn
Buchwald-Hartwig amination,108,5,37,21.6,scent_seh_seed43_m10,hub_batching_modes10_reward,full
Amide coupling,47,2,32,23.5,scent_seh_seed43_m10,hub_batching_modes10_reward,full
Reductive amination (aldehyde),44,2,32,22.0,scent_seh_seed43_m10,hub_batching_modes10_reward,full
Direct acid -> amine (reductive),40,2,26,20.0,scent_seh_seed43_m10,hub_batching_modes10_reward,full
Urea formation (amine + amine),25,3,10,8.33,scent_seh_seed43_m10,hub_batching_modes10_reward,full
Suzuki coupling,22,2,16,11.0,scent_seh_seed43_m10,hub_batching_modes10_reward,full
N-alkylation (azole N-H + alkyl halide),14,1,14,14.0,scent_seh_seed43_m10,hub_batching_modes10_reward,full
Amide coupling,32,1,32,32.0,scent_seh_seed43_m10,hub_batching_modes10_group,at100rxn
Buchwald-Hartwig amination,27,1,27,27.0,scent_seh_seed43_m10,hub_batching_modes10_group,at100rxn
Direct acid -> amine (reductive),20,1,20,20.0,scent_seh_seed43_m10,hub_batching_modes10_group,at100rxn
Buchwald-Hartwig amination,107,5,37,21.4,scent_seh_seed43_m10,hub_batching_modes10_group,full
Amide coupling,50,2,32,25.0,scent_seh_seed43_m10,hub_batching_modes10_group,full
Reductive amination (aldehyde),44,2,32,22.0,scent_seh_seed43_m10,hub_batching_modes10_group,full
Direct acid -> amine (reductive),37,2,26,18.5,scent_seh_seed43_m10,hub_batching_modes10_group,full
Urea formation (amine + amine),25,3,10,8.33,scent_seh_seed43_m10,hub_batching_modes10_group,full
Suzuki coupling,23,2,16,11.5,scent_seh_seed43_m10,hub_batching_modes10_group,full
N-alkylation (azole N-H + alkyl halide),14,1,14,14.0,scent_seh_seed43_m10,hub_batching_modes10_group,full
