template_id,line,yield,named_reaction,smarts
30,16,0.75,SNAr (activated aryl fluoride + amine),"[#6&!$(C=[O,N]):9][Nh:1]([#6&!$(C=[O,N]):20]).[F]-[c:2]1[c:3][c:4][c:5]([S:10](=O)=O)[c:6][c:7]1 >> [#6&!$(C=[O,N]):9][N:1]([#6&!$(C=[O,N]):20])-[c:2]1[c:3][c:4][c:5]([S:10](=O)=O)[c:6][c:7]1"
31,16,0.75,SNAr (activated aryl fluoride + amine),"[#6&!$(C=[O,N]):9][Nh:1]([#6&!$(C=[O,N]):20]).[F]-[c:2]1[c:3][c:4][c:5]([S:10](=O)=O)[c:6][c:7]1 >> [#6&!$(C=[O,N]):9][N:1]([#6&!$(C=[O,N]):20])-[c:2]1[c:3][c:4][c:5]([S:10](=O)=O)[c:6][c:7]1"
32,17,0.75,SNAr (halo-heteroarene + amine),"[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).[F]-[c:4]1[n:5][c:6][c:7][c:8][c:9]1 >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[c:4]1[n:5][c:6][c:7][c:8][c:9]1"
33,17,0.75,SNAr (halo-heteroarene + amine),"[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).[F]-[c:4]1[n:5][c:6][c:7][c:8][c:9]1 >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[c:4]1[n:5][c:6][c:7][c:8][c:9]1"
34,18,0.75,?,"[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).[c:4]1[n:5][c:6][c:7][c:8]([F])[c:9]1 >> [c:9]1[c:4][n:5][c:6][c:7][c:8]1-[N:1]([#6&!$(C=[O,N]):20])-[#6&!$(C=[O,N]):10]"
35,18,0.75,?,"[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).[c:4]1[n:5][c:6][c:7][c:8]([F])[c:9]1 >> [c:9]1[c:4][n:5][c:6][c:7][c:8]1-[N:1]([#6&!$(C=[O,N]):20])-[#6&!$(C=[O,N]):10]"
36,19,0.75,SNAr (halo-heteroarene + amine),"[#6&!$(C=[O,N]):10][Nh2:1].[F]-[c:4]1[n:5][c:6][c:7][c:8][c:9]1 >> [#6&!$(C=[O,N]):10][Nh:1]-[c:4]1[n:5][c:6][c:7][c:8][c:9]1"
37,19,0.75,SNAr (halo-heteroarene + amine),"[#6&!$(C=[O,N]):10][Nh2:1].[F]-[c:4]1[n:5][c:6][c:7][c:8][c:9]1 >> [#6&!$(C=[O,N]):10][Nh:1]-[c:4]1[n:5][c:6][c:7][c:8][c:9]1"
38,20,0.75,?,"[#6&!$(C=[O,N]):10][Nh2:1].[c:4]1[n:5][c:6][c:7][c:8]([F])[c:9]1 >> [c:9]1[c:4][n:5][c:6][c:7][c:8]1-[Nh:1][#6&!$(C=[O,N]):10]"
39,20,0.75,?,"[#6&!$(C=[O,N]):10][Nh2:1].[c:4]1[n:5][c:6][c:7][c:8]([F])[c:9]1 >> [c:9]1[c:4][n:5][c:6][c:7][c:8]1-[Nh:1][#6&!$(C=[O,N]):10]"
40,21,0.75,SNAr (halo-heteroarene + amine),"[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).[F]-[c:4]1[n:5][c:6][c:7][c:8][n:9]1 >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[c:4]1[n:5][c:6][c:7][c:8][n:9]1"
