template_id,steps,cum_coverage,named_reaction,single_reactant,smarts
0,232,0.9948,SNAr (activated aryl fluoride + amine),False,"[#6&!$(C=[O,N]):9][Nh2:1].[F]-[c:2]1[c:3][c:4][c:5]([C:8]=O)[c:6][c:7]1 >> [#6&!$(C=[O,N]):9][N:1][c:2]1[c:3][c:4][c:5]([C:8]=O)[c:6][c:7]1"
85,229,0.9952,Suzuki coupling,False,[c:2]-[I].[c:1]-[B]([Oh])([Oh]) >> [c:1]-[c:2]
5,225,0.9955,SNAr (activated aryl fluoride + amine),False,"[F]-[c:2]1[c:3]([C:10]=O)[c:4][c:5][c:6][c:7]1.[#6&!$(C=[O,N]):9][Nh:1][#6&!$(C=[O,N]):20] >> [#6&!$(C=[O,N]):9][N:1]([#6&!$(C=[O,N]):20])-[c:2]1[c:3]([C:10]=O)[c:4][c:5][c:6][c:7]1"
123,217,0.9957,Sonogashira coupling,False,[c:2]-[Br].[*:3]-[C:4]#[Ch:5] >> [c:2]-[C:5]#[C:4]-[*:3]
8,216,0.996,SNAr (activated aryl fluoride + amine),False,"[#6&!$(C=[O,N]):9][Nh:1]([#6&!$(C=[O,N]):20]).[F]-[c:2]1[c:3][c:4][c:5]([C:10]#N)[c:6][c:7]1 >> [#6&!$(C=[O,N]):9][N:1]([#6&!$(C=[O,N]):20])-[c:2]1[c:3][c:4][c:5]([C:10]#N)[c:6][c:7]1"
2,193,0.9963,SNAr (activated aryl fluoride + amine),False,"[#6&!$(C=[O,N]):9][Nh:1][#6&!$(C=[O,N]):20].[F]-[c:2]1[c:3][c:4][c:5]([C:8]=O)[c:6][c:7]1 >> [#6&!$(C=[O,N]):9][N:1]([#6&!$(C=[O,N]):20])-[c:2]1[c:3][c:4][c:5]([C:8]=O)[c:6][c:7]1"
50,172,0.9965,SNAr (halo-heteroarene + amine),False,"[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).[Cl]-[c:4]1[n:5][c:6][c:7][n:9]1 >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[c:4]1[n:5][c:6][c:7][n:9]1"
102,157,0.9967,Triazole formation (alkyne + alkyl halide),False,[#6:1]-[C:2]#[Ch:3].[#6:4]-[Ch2:5]-[Cl] >> [c:3]1[c:2](-[#6:1])[n](-[C:5]-[#6:4])[n-0][n+0]1
11,137,0.9969,SNAr (activated aryl fluoride + amine),False,"[F]-[c:2]1[c:3][c:4][c:5]([C:10]#N)[c:6][c:7]1.[#6&!$(C=[O,N]):9][Nh2:1] >> [#6&!$(C=[O,N]):9][Nh:1]-[c:2]1[c:3][c:4][c:5]([C:10]#N)[c:6][c:7]1"
3,132,0.9971,SNAr (activated aryl fluoride + amine),False,"[F]-[c:2]1[c:3][c:4][c:5]([C:8]=O)[c:6][c:7]1.[#6&!$(C=[O,N]):9][Nh:1][#6&!$(C=[O,N]):20] >> [#6&!$(C=[O,N]):9][N:1]([#6&!$(C=[O,N]):20])-[c:2]1[c:3][c:4][c:5]([C:8]=O)[c:6][c:7]1"
