recorded_amine,score_amine,counterfactual_amide,score_amide
OC[C@H](CN(c1cccc(B(O)O)c1)C1CCCN(Cc2c[nH]c3ccc(Br)cc23)C1)NCCBr,0.930767,O=C(CBr)N[C@H](CO)CN(c1cccc(B(O)O)c1)C1CCCN(Cc2c[nH]c3ccc(Br)cc23)C1,0.63289
C[C@@H](N)CN1CC(N(CCc2c[nH]c3ccccc23)Cc2c[nH]c3ccccc23)C1,0.610151,C[C@@H](N)C(=O)N1CC(N(CCc2c[nH]c3ccccc23)Cc2c[nH]c3ccccc23)C1,0.52651
C=CCN(c1cc(Br)ccc1N)C1CCCN(C[C@@H]2CCCN2)C1,0.880969,C=CCN(c1cc(Br)ccc1N)C1CCCN(C(=O)[C@@H]2CCCN2)C1,0.044989
S=C=Nc1cccc(CN(CCc2ccccc2Br)C2CCN(CCCNCCc3ccccc3Br)C2)c1,0.619733,O=C(c1cccc(N=C=S)c1)N(CCCN1CCC(NCCc2ccccc2Br)C1)CCc1ccccc1Br,0.36217
CN(CCC[C@H](N)C(=O)O)CC(=O)O,0.005984,CN(CC(=O)O)C(=O)CC[C@H](N)C(=O)O,0.002149
Oc1ccc(F)cc1NCC1CCN1C[C@@H]1CCCN1,0.87436,O=C(Nc1cc(F)ccc1O)C1CCN1C[C@@H]1CCCN1,0.209334
OC[C@H](CNc1cc(Br)ccc1O)NCc1c[nH]c2ccccc12,0.131109,O=C(Nc1cc(Br)ccc1O)[C@@H](CO)NCc1c[nH]c2ccccc12,0.012781
C1CN[C@@H](CNC23CC(C2)C3)C1,0.021217,O=C(NC12CC(C1)C2)[C@H]1CCCN1,0.003893
Oc1cc(Br)ccc1NC1CN(C[C@H]2CCCN2)C1,0.398354,O=C([C@H]1CCCN1)N(c1ccc(Br)cc1O)C1CNC1,0.321658
NCCc1ccccc1N(Cc1ccc(O)cc1)CC1CCN1,0.883315,NCCc1ccccc1N(Cc1ccc(O)cc1)C(=O)C1CCN1,0.862576
NCCNCCCN1CCCC(Nc2ccccc2S)C1,0.534891,NCC(=O)NCCCN1CCCC(Nc2ccccc2S)C1,0.105313
Oc1ccc(Br)cc1NCCCNC[C@@H]1Cc2ccccc2CN1,0.968983,O=C(CCNC[C@@H]1Cc2ccccc2CN1)Nc1cc(Br)ccc1O,0.66428
C[C@@H](N)CN(CCc1ccccc1Br)C1CN(Cc2c[nH]c3ccc(Br)cc23)C1,0.995806,C[C@@H](N)C(=O)N(CCc1ccccc1Br)C1CN(Cc2c[nH]c3ccc(Br)cc23)C1,0.918208
NCCCN(CCO)CCc1ccc(OC(=O)CCNCc2c[nH]c3ccc(Br)cc23)cc1,0.991595,NCCCN(CCc1ccc(OC(=O)CCNCc2c[nH]c3ccc(Br)cc23)cc1)C(=O)CO,0.226687
Oc1ccc2c(c1)C(CCN1CCC1CNCCc1ccccc1Br)NCC2,0.999991,O=C(NCCc1ccccc1Br)C1CCN1CCC1NCCc2ccc(O)cc21,0.980158
Nc1cccnc1N1CCN(CCN(Cc2c[nH]c3ccc(Br)cc23)CC2CCN2CCBr)CC1,0.921443,Nc1cccnc1N1CCN(CCN(Cc2c[nH]c3ccc(Br)cc23)CC2CCN2C(=O)CBr)CC1,0.982235
CN(CCNCCc1ccccc1)CC1CNC1,0.408739,CN(CC(=O)NCCc1ccccc1)CC1CNC1,0.030266
Brc1ccccc1CCN(CC1CCN1)c1ncccc1I,0.112077,O=C(C1CCN1)N(CCc1ccccc1Br)c1ncccc1I,0.026737
NCCN1CCCC(N(C[C@@H]2CCCN2Cc2c[nH]c3ccc(F)cc23)c2cccc(B(O)O)c2)C1,0.993222,NCC(=O)N1CCCC(N(C[C@@H]2CCCN2Cc2c[nH]c3ccc(F)cc23)c2cccc(B(O)O)c2)C1,0.734327
Brc1ccccc1CCNC[C@@H]1CCCN1,0.517665,O=C(NCCc1ccccc1Br)[C@@H]1CCCN1,0.00687
Brc1cccc2c1CCNC2CCN1CCC1CNC12CC(C1)C2,0.909983,O=C(NC12CC(C1)C2)C1CCN1CCC1NCCc2c(Br)cccc21,0.70728
NCCCNc1cc(F)c(F)cc1O,0.06007,NCCC(=O)Nc1cc(F)c(F)cc1O,0.004865
Ic1ccc2[nH]cc(CN(CC3CCN3Cc3ccncc3)C3CC3)c2c1,0.98317,O=C(c1ccncc1)N1CCC1CN(Cc1c[nH]c2ccc(I)cc12)C1CC1,0.822431
CC[C@H](N)CN1C(C(=O)O)c2ccccc2C[C@@H]1C(=O)O,0.02759,CC[C@H](N)C(=O)N1C(C(=O)O)c2ccccc2C[C@@H]1C(=O)O,0.002976
CSCC[C@@H](N)CN(CCBr)C1CC1,0.03185,CSCC[C@@H](N)CN(C(=O)CBr)C1CC1,0.003357
NCCCN(CCCN)c1cc(F)ccc1O,0.124142,NCCCN(C(=O)CCN)c1cc(F)ccc1O,0.153596
N#Cc1ccc(O)c(NCC=O)c1,0.010936,N#Cc1ccc(O)c(NC(=O)C=O)c1,0.000543
Oc1ccc(F)cc1N(C1CCN(C[C@H]2CCCN2CCBr)CC1)C(CCl)c1ccc(Br)cc1,0.967093,O=C(CBr)N1CCC[C@@H]1CN1CCC(N(c2cc(F)ccc2O)C(CCl)c2ccc(Br)cc2)CC1,0.951245
C[C@@H](C1=NCCc2c(Br)cccc21)N(CCCN)CCCN,0.5,C[C@@H](C1=NCCc2c(Br)cccc21)N(CCCN)C(=O)CCN,0.034573
NCCCNc1ccccc1O,0.226938,NCCC(=O)Nc1ccccc1O,0.008057
C#CCN(CCCN)CC1(N)CCC1,0.042845,C#CCN(CC1(N)CCC1)C(=O)CCN,0.0057
NCCN(c1ccccc1S)C1CCCN(C[C@H]2CCCN2Cc2c[nH]c3ccc(Br)cc23)C1,0.999981,NCC(=O)N(c1ccccc1S)C1CCCN(C[C@H]2CCCN2Cc2c[nH]c3ccc(Br)cc23)C1,0.993215
C=CCN(C[C@@H](C)N)[C@@H](C)c1ccccc1,0.017699,C=CCN(C(=O)[C@@H](C)N)[C@@H](C)c1ccccc1,0.004045
COc1ccccc1CCNCC1CN(CCC(=O)O)C1,0.25548,COc1ccccc1CCNC(=O)C1CN(CCC(=O)O)C1,0.008858
NCCCN(c1c(N)cccc1Br)C1CCCNC1,0.174773,NCCC(=O)N(c1c(N)cccc1Br)C1CCCNC1,0.09136
C[C@H](O)CN1CCC(CNc2ccc(CNC3CC3)cc2Br)CC1,0.64091,C[C@H](O)CN1CCC(CNc2ccc(C(=O)NC3CC3)cc2Br)CC1,0.587489
CNCCN(c1cc(Br)ccc1O)C1CCN(C[C@@H]2CCCN2)C1,0.694563,CN(CCN(c1cc(Br)ccc1O)C1CCNC1)C(=O)[C@@H]1CCCN1,0.127421
CC(C)(CNCCc1c[nH]c2ccccc12)NC[C@H]1CCCN1,0.623349,CC(C)(NC[C@H]1CCCN1)C(=O)NCCc1c[nH]c2ccccc12,0.159267
CC[C@@H](CNCCc1c[nH]c2ccccc12)NCCCN(Cc1ccc(F)cc1)C[C@H](C)N,0.973284,CC[C@@H](CN(CCc1c[nH]c2ccccc12)C(=O)[C@H](C)N)NCCCNCc1ccc(F)cc1,0.557914
N#Cc1ccc(O)c(NC[C@@H](N)Cc2ccc(O)cc2)c1,0.291884,N#Cc1ccc(O)c(NC(=O)[C@@H](N)Cc2ccc(O)cc2)c1,0.022237
COc1ccccc1CNCCCN,0.061125,COc1ccccc1CNC(=O)CCN,0.002012
N#Cc1ccc(N(Cc2c[nH]c3cc(Br)ccc23)C2CCN(C[C@@H](N)CCN3CC(=O)C3)CC2)c(N)c1,0.957852,N#Cc1ccc(N(Cc2c[nH]c3cc(Br)ccc23)C2CCN(C[C@@H](N)CC(=O)N3CC(=O)C3)CC2)c(N)c1,0.746629
C[C@@H](CN1CCC1CNc1cccc2cc[nH]c12)NC(CCl)c1ccc(Br)cc1,0.965814,C[C@@H](CN1CCC1C(=O)Nc1cccc2cc[nH]c12)NC(CCl)c1ccc(Br)cc1,0.557
Oc1ccc(CCN(CCNC2CC2)C[C@H]2CCCN2)cc1,0.820265,O=C([C@H]1CCCN1)N(CCNC1CC1)CCc1ccc(O)cc1,0.115566
CNCCN(c1ccccc1O)C(C)CCl,0.02898,CNCC(=O)N(c1ccccc1O)C(C)CCl,0.009902
NCCN(CCN)Cc1ccc(O)cc1,0.274487,NCCN(Cc1ccc(O)cc1)C(=O)CN,0.186952
Nc1ccc(CN(CC2CNC2)c2cc(Br)ccc2O)cc1Br,0.844588,Nc1ccc(CN(C(=O)C2CNC2)c2cc(Br)ccc2O)cc1Br,0.76737
CN(CCN(CCCN)c1cccc(Br)c1O)C[C@H]1CCCN1,0.577633,CN(CCN(C(=O)CCN)c1cccc(Br)c1O)C[C@H]1CCCN1,0.803487
CNCCN(CC1CCN1)[C@H](C)CNCCc1ccccc1OC,0.431483,CNCCN(C(=O)C1CCN1)[C@H](C)CNCCc1ccccc1OC,0.056178
NCCN[C@@H](CCNc1ccc(Br)cc1)CNCCc1ccncc1,0.702484,NCCN[C@@H](CCNc1ccc(Br)cc1)C(=O)NCCc1ccncc1,0.163348
CC[C@H](C)[C@@H](N)CN1CC(=O)C1,0.010678,CC[C@H](C)[C@@H](N)C(=O)N1CC(=O)C1,0.001342
C[C@H](N)CN1CCC[C@@H]1CN(C[C@H](N)Cc1ccc(O)cc1)c1cccc2cc[nH]c12,0.980471,C[C@H](N)C(=O)N1CCC[C@@H]1CN(C[C@H](N)Cc1ccc(O)cc1)c1cccc2cc[nH]c12,0.221708
COc1ccccc1CCNCCCN1CC(Nc2ccccc2O)C1,0.984185,COc1ccccc1CCNC(=O)CCN1CC(Nc2ccccc2O)C1,0.187801
O=C(O)C1CN(CC2CCN2)C1,0.019094,O=C(O)C1CCN1C(=O)C1CNC1,0.0044
CC(C)C[C@H](N)CN(C)CCNCCc1c[nH]c2ccccc12,0.739203,CC(C)C[C@H](N)CN(C)CC(=O)NCCc1c[nH]c2ccccc12,0.166882
O=C(CBr)CNc1cc(Br)ccc1O,0.003504,O=C(CBr)C(=O)Nc1cc(Br)ccc1O,0.000248
CN(CC(=O)Oc1ccc(CCN)cc1)C(CBr)CNc1cc(F)ccc1O,0.813281,CN(CC(=O)Oc1ccc(CCN)cc1)C(CBr)C(=O)Nc1cc(F)ccc1O,0.100741
Brc1ccccc1CCNCCCN(CCc1c[nH]c2ccccc12)C[C@H]1CCCN1,0.982371,O=C(CCN(CCc1c[nH]c2ccccc12)C[C@H]1CCCN1)NCCc1ccccc1Br,0.94373
CC[C@H](NCC1(N)CCC1)C(=O)OCCN,0.003339,CC[C@H](N)C(=O)OCCNC(=O)C1(N)CCC1,0.000788
CNCCN(CCCN(CCCN)c1c(C)ccnc1Br)Cc1c[nH]c2cc(Br)ccc12,0.94541,CNCCN(CCCN(C(=O)CCN)c1c(C)ccnc1Br)Cc1c[nH]c2cc(Br)ccc12,0.89437
CN(CCNc1cc(Br)ccc1O)Cc1c[nH]c2ccc(C#N)cc12,0.847269,CN(CC(=O)Nc1cc(Br)ccc1O)Cc1c[nH]c2ccc(C#N)cc12,0.163122
O=C1CCN(C[C@@H]2CCCNC2)C1,0.025992,O=C1CCN(C(=O)[C@@H]2CCCNC2)C1,0.002977
Oc1c(N2CCC[C@H](O)C2)cccc1N(Cc1c[nH]c2cc(Br)ccc12)C[C@H]1CCCN1,0.908997,O=C([C@H]1CCCN1)N(Cc1c[nH]c2cc(Br)ccc12)c1cccc(N2CCC[C@H](O)C2)c1O,0.938587
CNCCN(C[C@H](C)NCC=O)c1ccccc1S,0.062256,CNCC(=O)N(CC=O)[C@@H](C)CNc1ccccc1S,0.005392
CN(CCNCCc1c[nH]c2ccccc12)C1CCCN(Cc2cccc(F)c2F)C1,0.993198,CN(CCN(CCc1c[nH]c2ccccc12)C(=O)c1cccc(F)c1F)C1CCCNC1,0.965147
N#Cc1cc(N)cc(NCCCNC2CCC2)c1,0.084116,N#Cc1cc(N)cc(NCCC(=O)NC2CCC2)c1,0.007814
COc1ccccc1CCNCC[C@H](C(=O)O)N(CCCN)C1CCC1,0.356617,COc1ccccc1CCNC(=O)C[C@H](C(=O)O)N(CCCN)C1CCC1,0.02723
NCCCN(c1cccc(Br)c1N)C1CCCN(CCN)C1,0.601158,NCCCN(c1cccc(Br)c1N)C1CCCN(C(=O)CN)C1,0.017313
C[C@H](N)CN[C@H](Cc1c[nH]c2ccccc12)CN1CCCC(=O)C1,0.67304,C[C@H](N)CN[C@H](Cc1c[nH]c2ccccc12)C(=O)N1CCCC(=O)C1,0.030802
NCCNC1(CNCC(=O)O)CCC1,0.012523,NCC(=O)NCCNC1(C(=O)O)CCC1,0.002698
Brc1ccc2[nH]cc(CN3CCC(N4CCC[C@H]4CNc4cccnc4Br)C3)c2c1,0.968724,O=C(Nc1cccnc1Br)[C@@H]1CCCN1C1CCN(Cc2c[nH]c3ccc(Br)cc23)C1,0.931522
O=C(O)[C@@H]1CCCN1CCNc1ccc(B(O)O)cc1,0.013919,O=C(O)CN(C(=O)[C@@H]1CCCN1)c1ccc(B(O)O)cc1,0.007394
NCCCN1CC(CN(CC2CCN2Cc2c[nH]c3cc(Br)ccc23)c2c(N)cccc2Br)C1,0.986272,NCCC(=O)N1CC(CN(CC2CCN2Cc2c[nH]c3cc(Br)ccc23)c2c(N)cccc2Br)C1,0.894125
COc1ccccc1CCN(C[C@@H](N)CCC(=O)O)C1CCNCC1,0.399614,COc1ccccc1CCN(C(=O)CC[C@H](N)C(=O)O)C1CCNCC1,0.009788
CNCCN1CCC(CN2CC(CN(Cc3c[nH]c4ccc(Br)cc34)c3ccccc3S)C2)CC1,0.957684,CNCC(=O)N1CCC(CN2CC(CN(Cc3c[nH]c4ccc(Br)cc34)c3ccccc3S)C2)CC1,0.823833
CNCCNc1cc(F)ccc1O,0.118194,CNCC(=O)Nc1cc(F)ccc1O,0.017897
NCCCN(c1ccc(CNCCc2ccccc2Br)cc1Br)C1CNC1,0.943636,NCCCN(c1ccc(C(=O)NCCc2ccccc2Br)cc1Br)C1CNC1,0.880267
NCCCN1CCC[C@H]1C(=O)Oc1ccc(CN)cc1,0.145531,NCCC(=O)N1CCC[C@H]1C(=O)Oc1ccc(CN)cc1,0.000474
ClCC(NCCc1ccccc1N1CCC1CN(CCBr)C1CC1)c1ccc(Br)cc1,0.992696,O=C(CBr)N(CC1CCN1c1ccccc1CCNC(CCl)c1ccc(Br)cc1)C1CC1,0.399174
O=C1CCN(C[C@@H]2CCCN2)C1,0.031199,O=C1CCN(C(=O)[C@@H]2CCCN2)C1,0.003374
CC[C@@H](CNc1ccc(Br)cc1)N1CC2NCCc3ccc(O)c(c32)C1c1ccccc1,0.761475,CC[C@@H](C(=O)Nc1ccc(Br)cc1)N1CC2NCCc3ccc(O)c(c32)C1c1ccccc1,0.246352
C#Cc1ccc(O)c(NC[C@H]2CCCN2)c1,0.376508,C#Cc1ccc(O)c(NC(=O)[C@H]2CCCN2)c1,0.046874
COc1ccc(O)c(NCC[C@H](NCC2CCNCC2)C(=O)O)c1,0.090474,COc1ccc(O)c(NC(=O)C[C@H](NCC2CCNCC2)C(=O)O)c1,0.018854
O=C1CCN(CC2N[C@H](C(=O)O)Cc3ccc(O)cc32)C1,0.430501,O=C1CCN(C(=O)C2N[C@H](C(=O)O)Cc3ccc(O)cc32)C1,0.036034
C[C@H](CN(Cc1c[nH]c2ccc(F)cc12)c1cc(Br)ccc1O)NC1CN(CCN)C1,0.990539,C[C@H](CN(Cc1c[nH]c2ccc(F)cc12)c1cc(Br)ccc1O)N(C(=O)CN)C1CNC1,0.677153
Oc1cc(F)c(F)cc1NC[C@@H]1CCCN1Cc1cccc(Br)c1,0.779024,O=C(Nc1cc(F)c(F)cc1O)[C@@H]1CCCN1Cc1cccc(Br)c1,0.097835
Nc1cccc(Br)c1N(CC[C@H](N)CN1CCC[C@@H]1CO)C1CCN(Cc2c[nH]c3cc(Br)ccc23)C1,0.983552,Nc1cccc(Br)c1N(CC[C@H](N)C(=O)N1CCC[C@@H]1CO)C1CCN(Cc2c[nH]c3cc(Br)ccc23)C1,0.866817
Brc1ccc2[nH]cc(C3c4cccc(Br)c4CCN3C3CN(C[C@H]4CCCN4)C3)c2c1,0.999994,O=C([C@H]1CCCN1)N1CC(N2CCc3c(Br)cccc3C2c2c[nH]c3ccc(Br)cc23)C1,0.975483
CN(CCO)CCN(CCc1ccccc1Cl)Cc1c[nH]c2ccc(Br)cc12,0.981417,CN(CCN(CCc1ccccc1Cl)Cc1c[nH]c2ccc(Br)cc12)C(=O)CO,0.910969
CC[C@H](N)CN(CC(=O)O)Cc1cccnc1,0.00618,CC[C@H](N)CN(CC(=O)O)C(=O)c1cccnc1,0.001676
NCCN1CCC1CN(c1ccccc1S)C1CN(Cc2c[nH]c3ccc(Br)cc23)C1,0.999998,NCC(=O)N1CCC1CN(c1ccccc1S)C1CN(Cc2c[nH]c3ccc(Br)cc23)C1,0.977922
CC[C@H](NC[C@H](N)CS)C(=O)O,0.005664,CC[C@H](N)C(=O)N[C@H](CS)C(=O)O,0.001428
CNCCN(CCNc1ccccc1O)C[C@H]1CCCN1,0.276981,CN(CCNCCNc1ccccc1O)C(=O)[C@H]1CCCN1,0.063435
CNCCN1CCC[C@H](CNCCc2ccccc2Br)C1,0.768396,CNCCN1CCC[C@H](C(=O)NCCc2ccccc2Br)C1,0.080887
C[C@H](N)CNc1c(N)cccc1Br,0.02293,C[C@H](N)C(=O)Nc1c(N)cccc1Br,0.001736
Brc1cccc(CNCCCNC23CC(C2)C3)c1,0.115072,O=C(CCNCc1cccc(Br)c1)NC12CC(C1)C2,0.00597
O=CCCNCCN1CCNCC1,0.00988,O=CCCNCC(=O)N1CCNCC1,0.005088
NCCCN(C[C@@H]1CCCN1Cc1cccc(Br)c1)c1ccnc2ccccc12,0.970294,NCCC(=O)N(C[C@@H]1CCCN1Cc1cccc(Br)c1)c1ccnc2ccccc12,0.83246
Oc1ccccc1N(C[C@@H]1CCCN1CCBr)C1CCNCC1,0.618281,O=C(CBr)N1CCC(N(C[C@@H]2CCCN2)c2ccccc2O)CC1,0.036371
Oc1cc(Br)ccc1N(Cc1c[nH]c2ccc(Br)cc12)CC1CCN1C1CN(CC2CNC2)C1,0.995909,O=C(C1CNC1)N1CC(N2CCC2CN(Cc2c[nH]c3ccc(Br)cc23)c2ccc(Br)cc2O)C1,0.955859
CN(CC(=O)O)C[C@@H](N)c1ccccc1,0.009089,CN(CC(=O)O)C(=O)[C@@H](N)c1ccccc1,0.0007
C#CCN(CCCN)C[C@H](CC)Nc1cncc(O)c1,0.441568,C#CCN(C[C@H](CC)Nc1cncc(O)c1)C(=O)CCN,0.049819
N[C@@H](CNCCc1ccc(O)cc1)Cc1c[nH]c2ccccc12,0.939099,N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCc1ccc(O)cc1,0.065507
C[C@H](N)CNCCCNCCc1ccccc1Br,0.397928,C[C@H](N)C(=O)NCCCNCCc1ccccc1Br,0.059718
NCCCNC1(CN2CCCCC2)CCC1,0.02759,NCCCNC1(C(=O)N2CCCCC2)CCC1,0.001995
C[C@@H](CNCCc1ccccc1)NCC1CNC1,0.382586,C[C@H](NCC1CNC1)C(=O)NCCc1ccccc1,0.035708
CN(CCN1CCC(=O)C1)C(CCl)c1ccc(F)cc1F,0.073928,CN(CC(=O)N1CCC(=O)C1)C(CCl)c1ccc(F)cc1F,0.022119
Nc1ccc(Br)cc1NC[C@H](N)CS,0.022946,Nc1cc(Br)ccc1NC(=O)[C@H](N)CS,0.001123
CN(CCN1CCCC(=O)C1)CC1CCN1,0.040523,CN(CC(=O)N1CCCC(=O)C1)CC1CCN1,0.005105
CC[C@H](N)CN[C@@H](CC)CN(CCCN)CCc1ccc(O)cc1,0.728956,CC[C@@H](CN(CCCN)CCc1ccc(O)cc1)NC(=O)[C@@H](N)CC,0.429794
Oc1ccc(F)cc1NC[C@@H]1CCCN1Cc1cccc(F)c1F,0.667876,O=C(c1cccc(F)c1F)N(C[C@@H]1CCCN1)c1cc(F)ccc1O,0.392533
C[C@@H](N)CN(c1ccc(Br)cc1NC[C@@H]1CCCN1Cc1c[nH]c2cc(Br)ccc12)C1CCNCC1,0.901948,C[C@@H](N)C(=O)N(C[C@@H]1CCCN1Cc1c[nH]c2cc(Br)ccc12)c1cc(Br)ccc1NC1CCNCC1,0.845978
CNCCN1CC(N2CCCC(N(Cc3ccc(O)c(N)c3)c3cc(C#N)ccc3O)C2)C1,0.850348,CNCC(=O)N1CC(N2CCCC(N(Cc3ccc(O)c(N)c3)c3cc(C#N)ccc3O)C2)C1,0.720261
N#Cc1ccc(N(Cc2c[nH]c3ccc(Br)cc23)C[C@@H]2CCCN2CCBr)c(N)c1,0.995448,N#Cc1ccc(N(Cc2c[nH]c3ccc(Br)cc23)C[C@@H]2CCCN2C(=O)CBr)c(N)c1,0.348481
C#CCNCCNc1cc(F)ccc1O,0.186138,C#CCNC(=O)CNc1cc(F)ccc1O,0.006327
Nc1ccc(CN2CCC[C@@H]2CNc2cc(F)ccc2O)cc1Br,0.84266,Nc1ccc(C(=O)N(C[C@H]2CCCN2)c2cc(F)ccc2O)cc1Br,0.61738
NC1(CN(C[C@H]2CCCN2)c2ccnc3ccccc23)CCC1,0.278808,NC1(CN(C(=O)[C@H]2CCCN2)c2ccnc3ccccc23)CCC1,0.108778
N#Cc1cc(Br)cc(NCCCN(CCN)CCc2ccccc2)c1,0.974671,N#Cc1cc(Br)cc(NC(=O)CCN(CCN)CCc2ccccc2)c1,0.25507
Nc1cc(Br)ccc1N(CC1CCN1C[C@@H]1CCCN1)C(CCl)c1ccc(F)cc1,0.991907,Nc1cc(Br)ccc1N(CC1CCN1C(=O)[C@@H]1CCCN1)C(CCl)c1ccc(F)cc1,0.404849
COc1ccccc1CN(CCN)Cc1c(N)cccc1Br,0.190935,COc1ccccc1CN(CCN)C(=O)c1c(N)cccc1Br,0.0178
CC[C@@H](CN1CCc2c(Br)cccc2C1C(=O)O)N(CCBr)Cc1c[nH]c2ccc(C#N)cc12,0.960528,CC[C@@H](CN1CCc2c(Br)cccc2C1C(=O)O)N(Cc1c[nH]c2ccc(C#N)cc12)C(=O)CBr,0.672369
NCCCN(C[C@H]1CCCN1)c1cc(F)ccc1O,0.267239,NCCCN(C(=O)[C@H]1CCCN1)c1cc(F)ccc1O,0.397448
COc1ccccc1CCN(CCN(C)Cc1ccc(F)cc1)C1CN(c2ccccc2CCN)C1,0.925398,COc1ccccc1CCN(CCN(C)C(=O)c1ccc(F)cc1)C1CN(c2ccccc2CCN)C1,0.698344
C=CCNCc1cccc(F)c1NCC1CCN1,0.155726,C=CCNC(=O)c1cccc(F)c1NCC1CCN1,0.044215
Oc1ccc2[nH]cc(CCNC[C@@H]3CCCN3Cc3ccc(NC[C@H]4CCCN4)c(Br)c3)c2c1,0.941124,O=C(NCCc1c[nH]c2ccc(O)cc12)[C@@H]1CCCN1Cc1ccc(NC[C@H]2CCCN2)c(Br)c1,0.902857
Nc1cccc(N2CCC[C@@H]2CNC2CC2)c1O,0.128569,Nc1cccc(N2CCC[C@@H]2C(=O)NC2CC2)c1O,0.011721
NCCCN1CC(N(c2ccc(Br)cc2O)C2CCNC2)C1,0.611482,NCCC(=O)N1CC(N(c2ccc(Br)cc2O)C2CCNC2)C1,0.084875
Brc1ccc(NC[C@H]2CCCN2Cc2ccc(C3c4cccc(Br)c4CCN3CC3CCN3)cc2)cc1,0.844445,O=C(Nc1ccc(Br)cc1)[C@H]1CCCN1Cc1ccc(C2c3cccc(Br)c3CCN2CC2CCN2)cc1,0.75163
Fc1ccc(CN[C@H](CS)CN(CCc2c[nH]c3ccccc23)C2CNC2)cc1,0.995698,O=C(N[C@H](CS)CN(CCc1c[nH]c2ccccc12)C1CNC1)c1ccc(F)cc1,0.988494
Nc1ccc(CN2CCC[C@H]2CN2CCC[C@H]2CNCCc2ccc(O)cc2)cc1Br,0.977451,Nc1ccc(CN2CCC[C@H]2CN2CCC[C@H]2C(=O)NCCc2ccc(O)cc2)cc1Br,0.869358
NCCCN1CC(CN2CCC2C(=O)O)C1,0.027376,NCCCN1CC(C(=O)N2CCC2C(=O)O)C1,0.013417
C[C@@H](N)CNCC(=O)O,0.005452,C[C@@H](N)C(=O)NCC(=O)O,0.002128
COc1ccccc1CCN(Cc1ccccc1N)C[C@H]1CCCN1,0.934729,COc1ccccc1CCN(Cc1ccccc1N)C(=O)[C@H]1CCCN1,0.199297
CNCCN[C@H](C)CNCCc1ccccc1Br,0.339883,CNCC(=O)N[C@H](C)CNCCc1ccccc1Br,0.108316
CN(CC(=O)O)C1CCN(CCCN)C1,0.036938,CN(CC(=O)O)C1CCN(C(=O)CCN)C1,0.00606
