recorded_amine,score_amine,counterfactual_amide,score_amide
N[C@@H](CS)CN(CCCNc1cc(F)ccc1O)Cc1c[nH]c2ccc(Br)cc12,0.93784,N[C@@H](CS)CN(CCC(=O)Nc1cc(F)ccc1O)Cc1c[nH]c2ccc(Br)cc12,0.546578
Nc1cccc(N2CCC(N(CCCNCc3ccc(F)cc3)C3CC3)C2)c1O,0.995876,NCCCN(C1CC1)C1CCN(c2cccc(NC(=O)c3ccc(F)cc3)c2O)C1,0.926658
C=CCN(C[C@@H]([C@@H](C)O)N(Cc1c[nH]c2ccc(Br)cc12)C1CCCNC1)c1cc(C#N)ccc1O,0.906302,C=CC(=O)N(C[C@@H]([C@@H](C)O)N(Cc1c[nH]c2ccc(Br)cc12)C1CCCNC1)c1cc(C#N)ccc1O,0.705656
NCCN(CC1CN(C[C@@H](N)Cc2c[nH]c3ccccc23)C1)c1cc(F)c(F)cc1O,0.974293,NCC(=O)N(CC1CN(C[C@@H](N)Cc2c[nH]c3ccccc23)C1)c1cc(F)c(F)cc1O,0.95303
CC[C@H](N)CN1CCC(N[C@H](CNCCc2ccc(O)cc2)c2ccccc2)CC1,0.904306,CC[C@H](N)CN1CCC(N[C@H](C(=O)NCCc2ccc(O)cc2)c2ccccc2)CC1,0.474898
CC[C@H](N)CN(CCBr)c1cc(OC)ccc1O,0.019611,CC[C@H](N)C(=O)N(CCBr)c1cc(OC)ccc1O,0.010466
O=C(O)CCN(C[C@H]1CCCN1)C1CCNCC1,0.021159,O=C(O)CCN(C(=O)[C@H]1CCCN1)C1CCNCC1,0.00468
Fc1ccc(CN2CCC[C@H]2CN(c2ccccc2S)C2CCCN(C3CNC3)C2)cc1,0.982274,O=C(c1ccc(F)cc1)N1CC(N2CCCC(N(C[C@@H]3CCCN3)c3ccccc3S)C2)C1,0.972103
CC(C)[C@@H](C(=O)O)N(Cc1cccc(Br)c1)CC1CNC1,0.007692,CC(C)[C@@H](C(=O)O)N(Cc1cccc(Br)c1)C(=O)C1CNC1,0.002342
Nc1ccc(CN2CC(CN3CC(=O)C3)C2)cc1Br,0.048765,Nc1ccc(CN2CC(C(=O)N3CC(=O)C3)C2)cc1Br,0.009156
Oc1c(Br)cccc1NC[C@@H](CS)N(CC1CCN1)C1CNC1,0.376183,O=C(C1CCN1)N(C1CNC1)[C@H](CS)CNc1cccc(Br)c1O,0.033397
CN(CCN)CCN1CC(N(c2ccc(C#N)cc2N)C(CCl)c2ccc(Br)cc2)C1,0.979913,CN(CCN1CC(N(c2ccc(C#N)cc2N)C(CCl)c2ccc(Br)cc2)C1)C(=O)CN,0.911744
COc1cccc2c1CCN(C1CNC1)C2CNc1cc(F)ccc1O,0.999999,COc1cccc2c1CCN(C1CNC1)C2C(=O)Nc1cc(F)ccc1O,0.983988
Brc1cccc2c1CCNC2CN1CCC1CNc1cccc2cc[nH]c12,0.98919,O=C(Nc1cccc2cc[nH]c12)C1CCN1CC1NCCc2c(Br)cccc21,0.803931
N[C@H](CCN(CC=O)C1CC1)CN(CCc1c[nH]c2ccccc12)C(CCl)c1ccc(F)cc1F,0.999981,N[C@H](CCN(C(=O)C=O)C1CC1)CN(CCc1c[nH]c2ccccc12)C(CCl)c1ccc(F)cc1F,0.84444
NCCCNc1cccc(Br)c1NC1CCCNC1,0.212696,NCCC(=O)Nc1cccc(Br)c1NC1CCCNC1,0.051601
N#Cc1cc(Br)cc(NCc2cccc(F)c2NC2CC2)c1,0.073285,N#Cc1cc(Br)cc(NC(=O)c2cccc(F)c2NC2CC2)c1,0.01214
Oc1ccccc1NCC1CCN(CCBr)CC1,0.105003,O=C(Nc1ccccc1O)C1CCN(CCBr)CC1,0.004648
O=C(O)[C@H]1CCCN1CCNCCc1c[nH]c2ccccc12,0.565323,O=C(CN1CCC[C@@H]1C(=O)O)NCCc1c[nH]c2ccccc12,0.023326
CCCN(CCc1c[nH]c2ccccc12)C[C@@H](N)CCN(CC1CCN1)c1ccc(Br)cc1O,0.999986,CCCN(CCc1c[nH]c2ccccc12)C[C@@H](N)CCN(C(=O)C1CCN1)c1ccc(Br)cc1O,0.993226
CSCC[C@H](N)CNc1ccccc1C(=O)O,0.003341,CSCC[C@H](N)C(=O)Nc1ccccc1C(=O)O,0.000228
CC[C@@H](CN1CC(=O)C1)Nc1cccc(C=O)c1,0.005019,CC[C@H](Nc1cccc(C=O)c1)C(=O)N1CC(=O)C1,0.000432
CNCCN(CCC=O)c1ccc(Br)cc1,0.002027,CNCC(=O)N(CCC=O)c1ccc(Br)cc1,0.005386
Nc1c(F)cccc1CN(CCc1ccccc1)CC1CN(Cc2c[nH]c3cc(Br)ccc23)C1,0.927977,Nc1c(F)cccc1C(=O)N(CCc1ccccc1)CC1CN(Cc2c[nH]c3cc(Br)ccc23)C1,0.768688
C[C@@H](CN(CC1CCNCC1)c1cccc2cc[nH]c12)N(Cc1c[nH]c2ccc(F)cc12)C[C@@H]1CCCN1,0.651933,C[C@@H](CN(C(=O)C1CCNCC1)c1cccc2cc[nH]c12)N(Cc1c[nH]c2ccc(F)cc12)C[C@@H]1CCCN1,0.390087
C[C@H](N)CN(CCN)CCCCNCc1cccc(F)n1,0.37832,C[C@@H](CN(CCN)CCCCN)NC(=O)c1cccc(F)n1,0.288142
CC[C@@H](CN(CC1CNC1)c1cc(Br)ccc1O)NCC1CNC1,0.115203,CC[C@@H](CN(C(=O)C1CNC1)c1cc(Br)ccc1O)NCC1CNC1,0.127884
NCCCN1CCC[C@@H]1CNc1ccccc1S,0.74138,NCCCN1CCC[C@@H]1C(=O)Nc1ccccc1S,0.103226
