tag,arm,step,cum_modes,cum_reactions,reactions_added,reward,source_hub,smiles
rgfn_seh,hub_batching,35,35,99,1,7.076981544494629,O=C(O)c1ccc2oc(-c3ccc4oc(-c5ccc6oc(-c7ccncc7)nc6c5)nc4c3)nc2c1,COc1ccccc1CNCc1ccc2oc(-c3ccc4oc(-c5ccc6oc(-c7ccncc7)nc6c5)nc4c3)nc2c1
rgfn_seh,hub_batching,36,36,103,4,7.153661251068115,O=C(O)c1ccc2oc(-c3ccc4oc(-c5ccc6oc(-c7ccncc7F)nc6c5)nc4c3)nc2c1,O=C(NCc1c[nH]c2ccccc12)c1ccc2oc(-c3ccc4oc(-c5ccc6oc(-c7ccncc7F)nc6c5)nc4c3)nc2c1
rgfn_seh,hub_batching,37,37,107,4,7.5993266105651855,Nc1ccc(-c2ccc(F)c(C(=O)Nc3cc(-c4cccnc4)n[nH]3)c2)cc1N,O=C(Nc1cc(-c2cccnc2)n[nH]1)c1cc(-c2ccc3nc(C4Cc5ccccc5CN4)[nH]c3c2)ccc1F
rgfn_seh,hub_batching,38,38,108,1,7.128872394561768,Nc1ccc(-c2ccc(F)c(C(=O)Nc3cc(-c4cccnc4)n[nH]3)c2)cc1N,Nc1ccc(-c2ccc(F)c(C(=O)Nc3cc(-c4cccnc4)n[nH]3)c2)cc1NCC1CNC1
rgfn_seh,hub_batching,39,39,109,1,7.0005316734313965,Nc1ccc(-c2ccc(F)c(C(=O)Nc3cc(-c4cccnc4)n[nH]3)c2)cc1N,O=C(Nc1cc(-c2cccnc2)n[nH]1)c1cc(-c2ccc3[nH]c(-c4c[nH]c5ccccc45)nc3c2)ccc1F
rgfn_seh,hub_batching,40,40,113,4,7.911439418792725,O=C(O)c1ccc2nc(-c3nc(-c4cc(-c5cccnc5)cnc4F)cs3)oc2c1,Fc1ncc(-c2cccnc2)cc1-c1csc(-c2nc3ccc(CNC45CC(C4)C5)cc3o2)n1
rgfn_seh,hub_batching,41,41,114,1,7.555027484893799,O=C(O)c1ccc2nc(-c3nc(-c4cc(-c5cccnc5)cnc4F)cs3)oc2c1,O=C(NCCc1c[nH]c2ccccc12)c1ccc2nc(-c3nc(-c4cc(-c5cccnc5)cnc4F)cs3)oc2c1
rgfn_seh,hub_batching,42,42,117,3,7.009253978729248,O=C(O)c1cc(-c2ccc3oc(-c4ccncc4F)nc3c2)ccc1F,Fc1ccc(-c2ccc3oc(-c4ccncc4F)nc3c2)cc1CNC12CC(C1)C2
rgfn_seh,hub_batching,43,43,121,4,7.739517688751221,N#Cc1ccc(COCC2CCCN(C(=O)Nc3cc(-c4cccnc4)n[nH]3)C2)c(F)c1,O=C(Nc1cc(-c2cccnc2)n[nH]1)N1CCCC(COCc2ccc(-c3nnn(CC4CC4)n3)cc2F)C1
rgfn_seh,hub_batching,44,44,125,4,7.02632999420166,Nc1ccc(-c2cccnc2)cc1NC(=O)C1CCN1c1ccc(C(=O)CCl)cc1,Nc1ccc(-c2cccnc2)cc1NC(=O)C1CCN1c1ccc(C(=O)COC2CN3CCC2CC3)cc1
rgfn_seh,hub_batching,45,45,129,4,7.3359761238098145,O=C(O)c1cc(Br)cc(-c2ccc3nc(-c4ccnc(-c5cccnc5)c4F)[nH]c3c2)c1,Fc1c(-c2nc3ccc(-c4cc(Br)cc(CNC56CC(C5)C6)c4)cc3[nH]2)ccnc1-c1cccnc1
rgfn_seh,hub_batching,46,46,133,4,7.290195465087891,Cc1cc(-c2ccc(N)nc2)cnc1NCc1nc(-c2cccnc2)cs1,Cc1cc(-c2ccc(NCC3Cc4ccccc4CN3)nc2)cnc1NCc1nc(-c2cccnc2)cs1
rgfn_seh,hub_batching,47,47,137,4,7.35714864730835,Nc1ccc(Br)cc1NCc1ccc2oc(-c3ccc4oc(-c5cccnc5)nc4c3)nc2c1,Nc1ccc(NC23CC(C2)C3)cc1NCc1ccc2oc(-c3ccc4oc(-c5cccnc5)nc4c3)nc2c1
rgfn_seh,hub_batching,48,48,138,1,7.326053142547607,Nc1ccc(Br)cc1NCc1ccc2oc(-c3ccc4oc(-c5cccnc5)nc4c3)nc2c1,O=C(Nc1ccc(Br)cc1NCc1ccc2oc(-c3ccc4oc(-c5cccnc5)nc4c3)nc2c1)C1Cc2ccccc2CN1
rgfn_seh,hub_batching,49,49,142,4,7.307796955108643,Nc1ccc(N2CCCC2C(=O)O)cc1NCc1ccc2oc(-c3ccncc3F)nc2c1,Nc1ccc(N2CCCC2C(=O)NC2CC2)cc1NCc1ccc2oc(-c3ccncc3F)nc2c1
rgfn_seh,hub_batching,50,50,146,4,7.069528102874756,O=C(O)c1ccc2oc(-c3ccc4oc(C5CCN5c5ccccn5)nc4c3)nc2c1,O=C(NCc1ccccc1)c1ccc2oc(-c3ccc4oc(C5CCN5c5ccccn5)nc4c3)nc2c1
rgfn_seh,hub_batching,51,51,150,4,7.127114772796631,Nc1cc(-c2ccc(F)c(-c3nc4cc(C(=O)Nc5ccc(Br)cc5N)ccc4o3)c2)n[nH]1,Nc1cc(Br)ccc1NC(=O)c1ccc2oc(-c3cc(-c4cc(NCC5Cc6ccccc6CN5)[nH]n4)ccc3F)nc2c1
