seed,generator,target,cell,arm,gate,gate_matches_run,budget_rxns,modes_at_R,used_rxns,reward_gen_calls,status,n_modes_available,rxn_per_mode
42,scent,clpp,scent_clpp,hub_batching,-8.0,True,100,79,100,15328,budget-binding,300,1.266
42,scent,clpp,scent_clpp,hub_batching,-8.0,True,150,129,150,15328,budget-binding,300,1.163
42,scent,clpp,scent_clpp,hub_batching,-8.0,True,200,174,200,19984,budget-binding,300,1.149
42,scent,clpp,scent_clpp,best_candidate,-8.0,True,50,13,50,0,budget-binding,300,3.846
42,scent,clpp,scent_clpp,best_candidate,-8.0,True,100,27,98,0,budget-binding,300,3.63
42,scent,clpp,scent_clpp,best_candidate,-8.0,True,150,40,147,0,budget-binding,300,3.675
42,scent,clpp,scent_clpp,best_candidate,-8.0,True,200,55,200,0,budget-binding,300,3.636
42,scent,drd2,scent_drd2,hub_batching,0.5,True,50,29,50,29003,budget-binding,300,1.724
42,scent,drd2,scent_drd2,hub_batching,0.5,True,100,77,100,49441,budget-binding,300,1.299
42,scent,drd2,scent_drd2,hub_batching,0.5,True,150,125,150,74860,budget-binding,300,1.2
42,scent,drd2,scent_drd2,hub_batching,0.5,True,200,171,200,118554,budget-binding,300,1.17
42,scent,drd2,scent_drd2,best_candidate,0.5,True,50,13,50,0,budget-binding,300,3.846
42,scent,drd2,scent_drd2,best_candidate,0.5,True,100,26,99,0,budget-binding,300,3.808
42,scent,drd2,scent_drd2,best_candidate,0.5,True,150,39,149,0,budget-binding,300,3.821
42,scent,drd2,scent_drd2,best_candidate,0.5,True,200,53,198,0,budget-binding,300,3.736
42,scent,seh,scent_seh,hub_batching,5.0,True,50,28,50,3761,budget-binding,300,1.786
42,scent,seh,scent_seh,hub_batching,5.0,True,100,77,100,7638,budget-binding,300,1.299
42,scent,seh,scent_seh,hub_batching,5.0,True,150,126,150,12592,budget-binding,300,1.19
42,scent,seh,scent_seh,hub_batching,5.0,True,200,176,200,21546,budget-binding,300,1.136
42,scent,seh,scent_seh,best_candidate,5.0,True,50,13,48,0,budget-binding,300,3.692
42,scent,seh,scent_seh,best_candidate,5.0,True,100,28,100,0,budget-binding,300,3.571
42,scent,seh,scent_seh,best_candidate,5.0,True,150,42,149,0,budget-binding,300,3.548
42,scent,seh,scent_seh,best_candidate,5.0,True,200,55,198,0,budget-binding,300,3.6
43,fraggfn,clpp,fraggfn_clpp,hub_batching,-8.0,True,50,42,50,3360,budget-binding,300,1.19
43,fraggfn,clpp,fraggfn_clpp,hub_batching,-8.0,True,100,84,100,6300,budget-binding,300,1.19
43,fraggfn,clpp,fraggfn_clpp,hub_batching,-8.0,True,150,134,150,6300,budget-binding,300,1.119
43,fraggfn,clpp,fraggfn_clpp,hub_batching,-8.0,True,200,180,200,8085,budget-binding,300,1.111
43,fraggfn,clpp,fraggfn_clpp,best_candidate,-8.0,True,50,10,50,0,budget-binding,300,5.0
43,fraggfn,clpp,fraggfn_clpp,best_candidate,-8.0,True,100,20,100,0,budget-binding,300,5.0
43,fraggfn,clpp,fraggfn_clpp,best_candidate,-8.0,True,150,30,150,0,budget-binding,300,5.0
43,fraggfn,clpp,fraggfn_clpp,best_candidate,-8.0,True,200,40,200,0,budget-binding,300,5.0
43,fraggfn,drd2,fraggfn_drd2,hub_batching,0.5,True,50,38,50,3465,budget-binding,300,1.316
43,fraggfn,drd2,fraggfn_drd2,hub_batching,0.5,True,100,80,100,5565,budget-binding,300,1.25
43,fraggfn,drd2,fraggfn_drd2,hub_batching,0.5,True,150,123,147,6510,budget-binding,300,1.195
43,fraggfn,drd2,fraggfn_drd2,hub_batching,0.5,True,200,168,200,8715,budget-binding,300,1.19
43,fraggfn,drd2,fraggfn_drd2,best_candidate,0.5,True,50,10,50,0,budget-binding,300,5.0
43,fraggfn,drd2,fraggfn_drd2,best_candidate,0.5,True,100,20,100,0,budget-binding,300,5.0
43,fraggfn,drd2,fraggfn_drd2,best_candidate,0.5,True,150,30,150,0,budget-binding,300,5.0
43,fraggfn,drd2,fraggfn_drd2,best_candidate,0.5,True,200,40,200,0,budget-binding,300,5.0
43,fraggfn,seh,fraggfn_seh,hub_batching,5.0,True,50,38,50,4725,budget-binding,300,1.316
43,fraggfn,seh,fraggfn_seh,hub_batching,5.0,True,100,80,100,8085,budget-binding,300,1.25
