set,cutoff,n_above_cutoff,frac_above_cutoff,n_scored,n_replicates,subsampled,mean_pairwise_similarity,mean_pairwise_similarity_sd,modes_per_mol,modes_per_mol_sd,butina_per_mol,butina_per_mol_sd,scaffolds_per_mol,scaffolds_per_mol_sd
sample,6.1,25238,0.968123058038283,2500,3,True,0.17038716541221563,0.0007023360111164888,0.9420000000000001,0.00405955662603689,0.9370666666666666,0.0028378395538390016,0.9972,0.00040000000000001146
sample,6.2,25073,0.9617937013310829,2500,3,True,0.17070730103495416,0.0006617534518541782,0.9413333333333332,0.0038850139424889438,0.9364,0.003019933774108298,0.9972,0.00040000000000001146
sample,6.3,24871,0.9540450343319652,2500,3,True,0.1711140805652718,0.0007183610597534549,0.9404,0.004233202097703361,0.9354666666666667,0.003208322510804236,0.9972,0.00040000000000001146
sample,6.4,24582,0.9429590701599601,2500,3,True,0.17153589219300303,0.0008557651560648268,0.9390666666666667,0.004636090306856989,0.9341333333333334,0.003494757979221596,0.9972,0.00040000000000001146
sample,6.5,24222,0.9291495646169781,2500,3,True,0.17208619035273606,0.0007288833959165724,0.9381333333333334,0.0041633319989322695,0.9331999999999999,0.0031999999999999806,0.9972,0.00040000000000001146
sample,6.6,23788,0.9125014384901607,2500,3,True,0.17297715409856404,0.0007191244619486899,0.9362666666666667,0.004495924080023311,0.9313333333333333,0.004006661120351127,0.9969333333333333,0.00023094010767582486
sample,6.7,23271,0.8926694541409337,2500,3,True,0.17386075931087333,0.0007245223362264266,0.9337333333333332,0.00440605643782888,0.9282666666666667,0.0037166292972710185,0.9968,0.00040000000000001146
sample,6.8,22640,0.8684644597030956,2500,3,True,0.17482492181045298,0.0008524760488174415,0.9310666666666667,0.005675679107678063,0.9250666666666666,0.00477214137817954,0.9966666666666667,0.00023094010767588897
sample,6.9,21896,0.839924814914266,2500,3,True,0.1761759910270687,0.0009723911390015641,0.9272,0.006609084656743374,0.9199999999999999,0.0056426943918664015,0.9966666666666667,0.00023094010767588897
sample,7.0,21001,0.8055928497449077,2500,3,True,0.17769857562757166,0.0013088886161843115,0.9229333333333334,0.006803920438492279,0.9153333333333333,0.005619015334854791,0.9964,0.00040000000000001146
